,ligand,receptor
3297,HMDB0000073,DRD4
3299,HMDB0000068,DRD4
3315,HMDB0000259,HTR2B
3316,HMDB0000073,HTR2B
3362,HMDB0000259,HTR3B
3363,HMDB0000073,HTR3B
3365,HMDB0001830,PGR
3380,HMDB0000253,NR1I2
3381,HMDB0000151,NR1I2
3382,HMDB0000077,NR1I2
3399,HMDB0000112,GABRA4
3456,HMDB0000259,HTR5A
3457,HMDB0000073,HTR5A
3473,HMDB0000112,GABRA3
3476,HMDB0001852,RARG
3485,HMDB0000895,CHRNA10
3525,HMDB0001335,PTGIR
3555,HMDB0000148,GRM4
