dataset,organ,paper,condition,Data URL,
Kuppe,heart,https://www.nature.com/articles/s41586-022-05060-x,infarction,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,
Reichart ,heart,https://www.science.org/doi/10.1126/science.abo1984,cardiomyopathies,https://cellxgene.cziscience.com/collections/e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,
Carraro,lung,https://www.nature.com/articles/s41591-021-01332-7,Cystic fibrosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150674,
Habermann,lung,https://pubmed.ncbi.nlm.nih.gov/32832598/,Pulmanory Fibrosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135893,
Velmeshev,brain,https://www.science.org/doi/full/10.1126/science.aav8130,ASD,https://codeocean.com/capsule/9737314/tree/v2,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA434002/
